epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2022.27,0.93829,2.41257,1.37179,0.42881,0.43327,0.37314,0.24429,0.97165,2.45513,1.45882,0.000237487,0.000237487,0.000237487
2,4194.84,1.17061,2.39226,1.56866,0.48091,0.30085,0.22346,0.13115,1.15757,2.6722,1.68162,0.000444105,0.000444105,0.000444105
3,6004.77,1.23314,2.41949,1.62306,0.38494,0.37948,0.27035,0.18034,1.03798,2.76049,1.58578,0.000619307,0.000619307,0.000619307
4,7887.25,1.18144,2.32011,1.5887,0.39307,0.32243,0.27335,0.16501,1.06038,2.32663,1.60228,0.000572628,0.000572628,0.000572628
